epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.4033,3.28513,0.07692,0.26923,3.28552,2.664e-05,2.664e-05,2.664e-05
2,88.849,3.25224,0.07692,0.23077,3.21234,5.56759e-05,5.56759e-05,5.56759e-05
3,134.417,3.21041,0.11538,0.34615,3.14234,8.37229e-05,8.37229e-05,8.37229e-05
4,177.007,3.21016,0.07692,0.42308,3.07213,0.000110781,0.000110781,0.000110781
5,219.394,3.10963,0.15385,0.53846,2.96312,0.00013685,0.00013685,0.00013685
6,264.538,3.06356,0.23077,0.69231,2.86435,0.00016193,0.00016193,0.00016193
7,310.024,2.98355,0.26923,0.84615,2.76943,0.00018602,0.00018602,0.00018602
8,355.511,2.88671,0.53846,0.88462,2.64334,0.000209122,0.000209122,0.000209122
9,402.279,2.83153,0.61538,0.92308,2.5007,0.000231235,0.000231235,0.000231235
10,449.606,2.71629,0.69231,0.92308,2.38811,0.000252359,0.000252359,0.000252359
11,499.125,2.62887,0.73077,0.96154,2.24738,0.000272494,0.000272494,0.000272494
12,548.449,2.45942,0.80769,0.96154,2.03495,0.000272561,0.000272561,0.000272561
13,596.514,2.39182,0.84615,0.96154,1.89044,0.000267066,0.000267066,0.000267066
14,644.368,2.22435,0.84615,0.96154,1.73665,0.000261572,0.000261572,0.000261572
15,692.82,2.17223,0.76923,0.96154,1.61025,0.000256077,0.000256077,0.000256077
16,741.563,2.09075,0.80769,1,1.42289,0.000250583,0.000250583,0.000250583
17,793.593,1.94332,0.80769,1,1.28516,0.000245088,0.000245088,0.000245088
18,843.154,1.86438,0.80769,1,1.16797,0.000239594,0.000239594,0.000239594
19,890.487,1.73243,0.80769,1,1.08288,0.000234099,0.000234099,0.000234099
20,941.52,1.72276,0.96154,1,0.93774,0.000228605,0.000228605,0.000228605
21,991.827,1.57222,0.96154,1,0.86311,0.00022311,0.00022311,0.00022311
22,1041.87,1.41515,0.96154,1,0.79554,0.000217616,0.000217616,0.000217616
23,1089.58,1.41845,0.96154,1,0.73099,0.000212121,0.000212121,0.000212121
24,1138.23,1.3091,0.96154,1,0.62707,0.000206627,0.000206627,0.000206627
25,1186.26,1.26326,1,1,0.57329,0.000201132,0.000201132,0.000201132
26,1236.73,1.21868,1,1,0.51056,0.000195637,0.000195637,0.000195637
27,1286.3,1.21776,1,1,0.47598,0.000190143,0.000190143,0.000190143
28,1337.45,1.19764,1,1,0.41252,0.000184649,0.000184649,0.000184649
29,1385.72,1.02695,1,1,0.39324,0.000179154,0.000179154,0.000179154
30,1433.73,0.99003,1,1,0.36763,0.00017366,0.00017366,0.00017366
31,1482.45,0.95618,1,1,0.33152,0.000168165,0.000168165,0.000168165
32,1529.89,0.87029,1,1,0.30811,0.00016267,0.00016267,0.00016267
33,1578.41,0.87556,1,1,0.28365,0.000157176,0.000157176,0.000157176
34,1624.91,0.79992,1,1,0.27139,0.000151682,0.000151682,0.000151682
35,1668.79,0.8469,1,1,0.25184,0.000146187,0.000146187,0.000146187
36,1713.71,0.79494,1,1,0.22822,0.000140692,0.000140692,0.000140692
37,1758.14,0.73551,1,1,0.21947,0.000135198,0.000135198,0.000135198
38,1804.19,0.73686,1,1,0.21112,0.000129703,0.000129703,0.000129703
39,1852.07,0.75613,1,1,0.20825,0.000124209,0.000124209,0.000124209
40,1898.64,0.78931,1,1,0.18906,0.000118714,0.000118714,0.000118714
41,1943.38,0.71792,1,1,0.18359,0.00011322,0.00011322,0.00011322
42,1990.2,0.72206,1,1,0.17022,0.000107726,0.000107726,0.000107726
43,2041.04,0.66853,1,1,0.16797,0.000102231,0.000102231,0.000102231
44,2091.48,0.58631,1,1,0.16188,9.67365e-05,9.67365e-05,9.67365e-05
45,2137.75,0.63553,1,1,0.15956,9.1242e-05,9.1242e-05,9.1242e-05
46,2185.33,0.63996,1,1,0.14912,8.57475e-05,8.57475e-05,8.57475e-05
47,2234.62,0.61057,1,1,0.14373,8.0253e-05,8.0253e-05,8.0253e-05
48,2283.35,0.65614,1,1,0.1414,7.47585e-05,7.47585e-05,7.47585e-05
49,2333.07,0.56152,1,1,0.1413,6.9264e-05,6.9264e-05,6.9264e-05
50,2381.77,0.52944,1,1,0.13634,6.37695e-05,6.37695e-05,6.37695e-05
51,2430.19,0.61656,1,1,0.13342,5.8275e-05,5.8275e-05,5.8275e-05
52,2481.26,0.56539,1,1,0.12911,5.27805e-05,5.27805e-05,5.27805e-05
53,2530.56,0.60752,1,1,0.12322,4.7286e-05,4.7286e-05,4.7286e-05
54,2581.42,0.61885,1,1,0.11778,4.17915e-05,4.17915e-05,4.17915e-05
55,2632.36,0.57561,1,1,0.12388,3.6297e-05,3.6297e-05,3.6297e-05
56,2680.55,0.61594,1,1,0.11472,3.08025e-05,3.08025e-05,3.08025e-05
57,2731.95,0.53571,1,1,0.11681,2.5308e-05,2.5308e-05,2.5308e-05
58,2781.99,0.57131,1,1,0.11929,1.98135e-05,1.98135e-05,1.98135e-05
59,2827.93,0.50205,1,1,0.11909,1.4319e-05,1.4319e-05,1.4319e-05
60,2877.58,0.5486,1,1,0.1166,8.8245e-06,8.8245e-06,8.8245e-06
